subjectId,subjectCond,chapter,level,playCount,playTime,deaths,badgesEarned,anglesUnlocked,steps,badgeDecision
3101,level badges,1,2,1,18,0,0,0,2,NULL
3101,level badges,1,5,3,83,2,0,6,6,NULL
3101,level badges,1,4,1,24,0,0,2,5,NULL
3101,level badges,1,7,1,61,0,0,6,8,NULL
3101,level badges,1,6,4,62,3,0,8,7,NULL
3101,level badges,1,9,2,44,2,0,6,5,NULL
3101,level badges,1,8,5,141,3,1,18,11,OPT-IN
3101,level badges,2,1,2,38,0,0,3,3,NULL
3101,level badges,2,3,2,55,0,0,9,12,NULL
3101,level badges,2,2,6,146,3,0,9,16,NULL
3101,level badges,2,5,4,123,3,0,16,7,NULL
3101,level badges,2,4,9,228,8,0,14,12,OPT-OUT
3101,level badges,2,6,5,198,5,0,20,14,OPT-OUT
3102,level badges,1,1,1,52,0,0,0,3,NULL
3102,level badges,1,3,2,30,1,0,0,7,NULL
3102,level badges,1,2,1,22,0,0,0,5,NULL
3102,level badges,1,5,3,107,2,0,7,11,NULL
3102,level badges,1,4,1,19,0,0,2,4,NULL
3102,level badges,1,7,4,141,3,0,14,15,NULL
3102,level badges,1,6,1,33,0,0,5,4,NULL
3102,level badges,1,9,0,23,0,0,3,3,NULL
3102,level badges,1,8,3,85,3,0,7,7,OPT-IN
3102,level badges,2,1,2,39,0,0,3,3,NULL
3102,level badges,2,3,2,65,0,0,9,9,NULL
3102,level badges,2,2,14,395,7,0,22,27,NULL
3102,level badges,2,5,8,248,8,0,14,2,NULL
3102,level badges,2,4,2,57,0,0,9,8,OPT-IN
3102,level badges,2,6,0,0,0,0,2,2,OPT-IN
3103,no badges,1,1,2,21,0,0,0,3,NULL
3103,no badges,1,3,2,31,0,0,0,14,NULL
3103,no badges,1,2,3,71,0,0,0,15,NULL
3103,no badges,1,5,5,106,3,0,8,12,NULL
3103,no badges,1,4,2,36,0,0,3,9,NULL
3103,no badges,1,7,1,114,0,0,6,14,NULL
3103,no badges,1,6,9,136,8,0,12,9,NULL
3103,no badges,1,9,0,22,0,0,3,3,NULL
3103,no badges,1,8,3,102,3,0,9,5,NULL
3103,no badges,2,1,2,31,0,0,3,5,NULL
3103,no badges,2,3,1,77,0,0,6,4,NULL
3103,no badges,2,2,9,410,7,0,15,31,NULL
3103,no badges,2,4,10,311,10,0,31,8,NULL
